Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,ng2,eps
face_gender,0.00300369,1,17,0.00300369,0.36394430,0.55428820,0.55428820,0.00870785,1.00000000
Emotion,0.06014059,2,34,0.03007029,15.95321616,0.00001298,0.00003889,0.14957471,0.87091804
face_gender * Emotion,0.14404615,2,34,0.07202307,29.21254642,0.00000004,0.00000009,0.29640173,0.94683524
