ImageFile,Gender,Emotion,CorrectAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,text.started,image.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,age,gender,education_years,handedness,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.001512099988758564,0.0036124999169260263,0.0036124999169260263,13.117091799969785,space,13.015283599961549,None,,,,,,,,,,,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/F15NE.jpg,Female,Neutral,f,0,0,0,f,1,1.1914312000153586,None,0,0,0,2,13.15866009995807,,,,,,,,,13.15623029996641,13.15866009995807,13.625674299895763,13.625674299895763,13.658990499912761,14.826161699951626,f,1,1.1914312000153586,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/F31HA.jpg,Female,Happy,f,1,1,0,f,1,0.6744681000709534,None,0,1,1,46,14.84166389994789,,,,,,,,,14.839032399933785,14.84166389994789,15.341719999909401,15.341719999909401,15.341719999909401,16.026153899962083,f,1,0.6744681000709534,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/F27HA.jpg,Female,Happy,f,2,2,0,f,1,0.6126697999425232,None,0,2,2,37,16.04141239996534,,,,,,,,,16.03921169997193,16.04141239996534,16.54176529997494,16.54176529997494,16.54176529997494,17.158979999949224,f,1,0.6126697999425232,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/M07AN.jpg,Male,Angry,m,3,3,0,m,1,0.5265687999781221,None,0,3,3,78,17.17476749990601,,,,,,,,,17.17148989997804,17.17476749990601,17.65829870000016,17.65829870000016,17.674998299917206,18.19219439988956,m,1,0.5265687999781221,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/F23HA.jpg,Female,Happy,f,4,4,0,f,1,0.526769999996759,None,0,4,4,25,18.208060499979183,,,,,,,,,18.203338799998164,18.208060499979183,18.691449099918827,18.691449099918827,18.70793449995108,19.225466599920765,f,1,0.526769999996759,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/M09AN.jpg,Male,Angry,m,5,5,0,m,1,0.5131728000706062,None,0,5,5,84,19.241356399958022,,,,,,,,,19.239115799893625,19.241356399958022,19.7248540999135,19.7248540999135,19.74140349996742,20.241782399942167,m,1,0.5131728000706062,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/M04NE.jpg,Male,Neutral,m,6,6,0,m,1,0.5577395999571308,None,0,6,6,71,20.25750559999142,,,,,,,,,20.255038799950853,20.25750559999142,20.75802909990307,20.75802909990307,20.75802909990307,21.325045299949124,m,1,0.5577395999571308,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/F16AN.jpg,Female,Angry,f,7,7,0,m,0,0.8290031999349594,None,0,7,7,3,21.340697299921885,,,,,,,,,21.338036199915223,21.340697299921885,21.82453959994018,21.82453959994018,21.841102799982764,22.657761799986474,m,0,0.8290031999349594,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/F15AN.jpg,Female,Angry,f,8,8,0,f,1,0.745826099999249,None,0,8,8,0,22.673928499920294,,,,,,,,,22.667322199908085,22.673928499920294,23.157783399918117,23.157783399918117,23.17442779999692,23.9080620999448,f,1,0.745826099999249,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/F31AN.jpg,Female,Angry,f,9,9,0,m,0,1.2237200998933986,None,0,9,9,45,23.923679500003345,,,,,,,,,23.921233300003223,23.923679500003345,24.423924299888313,24.423924299888313,24.423924299888313,25.657950299908407,m,0,1.2237200998933986,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/M04AN.jpg,Male,Angry,m,10,10,0,m,1,0.6405346000101417,None,0,10,10,69,25.673790699918754,,,,,,,,,25.669362399959937,25.673790699918754,26.157118699979037,26.157118699979037,26.17336819996126,26.807922099949792,m,1,0.6405346000101417,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/M08HA.jpg,Male,Happy,m,11,11,0,m,1,0.5951630999334157,None,0,11,11,82,26.823398199980147,,,,,,,,,26.8207975999685,26.823398199980147,27.323718499974348,27.323718499974348,27.323718499974348,27.923725599888712,m,1,0.5951630999334157,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/M10HA.jpg,Male,Happy,m,12,12,0,m,1,0.658815799979493,None,0,12,12,88,27.93995609995909,,,,,,,,,27.934173499932513,27.93995609995909,28.42328349989839,28.42328349989839,28.44006839999929,29.09034349990543,m,1,0.658815799979493,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/F21NE.jpg,Female,Neutral,f,13,13,0,f,1,0.6111271000700071,None,0,13,13,20,29.106481199967675,,,,,,,,,29.10045479994733,29.106481199967675,29.59003500000108,29.59003500000108,29.606926499982364,30.207303499919362,f,1,0.6111271000700071,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/F34NE.jpg,Female,Neutral,f,14,14,0,f,1,0.6010694999713451,None,0,14,14,56,30.22290199995041,,,,,,,,,30.22022409993224,30.22290199995041,30.723477499908768,30.723477499908768,30.723477499908768,31.340526299900375,f,1,0.6010694999713451,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/M11NE.jpg,Male,Neutral,m,15,15,0,m,1,0.5731511999620125,None,0,15,15,92,31.356293099932373,,,,,,,,,31.352161899907514,31.356293099932373,31.83979079988785,31.83979079988785,31.856489199912176,32.423717099940404,m,1,0.5731511999620125,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/M12AN.jpg,Male,Angry,m,16,16,0,m,1,0.5237956999335438,None,0,16,16,93,32.439139399910346,,,,,,,,,32.43649100000039,32.439139399910346,32.939689999911934,32.939689999911934,32.939689999911934,33.473687099991366,m,1,0.5237956999335438,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
stimuli/F23AN.jpg,Female,Angry,f,17,17,0,f,1,0.5565972001058981,None,0,17,17,24,33.48919479991309,,,,,,,,,33.48567619989626,33.48919479991309,33.98937029996887,33.98937029996887,33.98937029996887,34.556468199938536,f,1,0.5565972001058981,None,P05,001,22,Female,16,Right,2025-12-20_03h07.34.945,gender_task,,2025.1.1,59.983540502883436,2025-12-20 03h07.50.604350 +0300,
