participant,Gender,Emotion,accuracy,mean_rt,participant_gender,age,handedness
P15,Male,Happy,1.0,0.8835087722658904,Female,23,Right
P15,Male,Neutral,0.9473684210526315,0.822083911095332,Female,23,Right
P16,Female,Angry,0.8,0.8284141000112868,Male,24,Right
P16,Female,Happy,1.0,0.7853292157861257,Male,24,Right
P16,Female,Neutral,1.0,0.7476027999914044,Male,24,Right
P16,Male,Angry,0.85,0.8526596117641448,Male,24,Right
P16,Male,Happy,1.0,0.9312291315719975,Male,24,Right
P16,Male,Neutral,0.8,1.002473850014212,Male,24,Right
P17,Female,Angry,0.8,0.9293528312555281,Male,22,Right
P17,Female,Happy,0.9,0.7853521388994219,Male,22,Right
P17,Female,Neutral,1.0,0.8219138555513281,Male,22,Right
P17,Male,Angry,1.0,0.6898706888961088,Male,22,Right
P17,Male,Happy,0.9444444444444444,0.7758146176621428,Male,22,Right
P17,Male,Neutral,0.8947368421052632,0.676782582366072,Male,22,Right
P19,Female,Angry,0.75,1.1210613066485773,Female,22,Right
P19,Female,Happy,0.8947368421052632,0.9485499529332361,Female,22,Right
P19,Female,Neutral,1.0,1.1054996842224347,Female,22,Right
P19,Male,Angry,1.0,0.7195668474060336,Female,22,Right
P19,Male,Happy,1.0,0.7463858999973653,Female,22,Right
P19,Male,Neutral,0.95,0.8792440157849342,Female,22,Right
P20,Female,Angry,0.8421052631578947,0.6568486687392578,Female,23,Right
P20,Female,Happy,0.95,0.66070542105253,Female,23,Right
P20,Female,Neutral,0.95,0.7997641842199588,Female,23,Right
P20,Male,Angry,1.0,0.7031450579004166,Female,23,Right
P20,Male,Happy,0.9473684210526315,0.6605775277906408,Female,23,Right
P20,Male,Neutral,0.8947368421052632,0.6066864941077417,Female,23,Right
